,country,vaccines
0,Afghanistan,Oxford/AstraZeneca
1,Albania,"Pfizer/BioNTech, Sinovac"
2,Algeria,Sputnik V
3,Andorra,Pfizer/BioNTech
4,Angola,Oxford/AstraZeneca
5,Anguilla,Oxford/AstraZeneca
6,Antigua and Barbuda,Oxford/AstraZeneca
7,Argentina,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
8,Australia,"Oxford/AstraZeneca, Pfizer/BioNTech"
9,Austria,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
10,Azerbaijan,Sinovac
11,Bahamas,Oxford/AstraZeneca
12,Bahrain,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
13,Bangladesh,Oxford/AstraZeneca
14,Barbados,Oxford/AstraZeneca
15,Belarus,Sputnik V
16,Belgium,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
17,Belize,Oxford/AstraZeneca
18,Bermuda,Pfizer/BioNTech
19,Bhutan,Oxford/AstraZeneca
20,Bolivia,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
21,Botswana,Oxford/AstraZeneca
22,Brazil,"Oxford/AstraZeneca, Sinovac"
23,Brunei,Oxford/AstraZeneca
24,Bulgaria,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
25,Cambodia,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
26,Canada,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
27,Cape Verde,Oxford/AstraZeneca
28,Cayman Islands,Pfizer/BioNTech
29,Chile,"Pfizer/BioNTech, Sinovac"
30,China,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
31,Colombia,"Pfizer/BioNTech, Sinovac"
32,Costa Rica,Pfizer/BioNTech
33,Cote d'Ivoire,Oxford/AstraZeneca
34,Croatia,Pfizer/BioNTech
35,Cyprus,Pfizer/BioNTech
36,Czechia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
37,Denmark,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
38,Dominica,Oxford/AstraZeneca
39,Dominican Republic,"Oxford/AstraZeneca, Sinovac"
40,Ecuador,Pfizer/BioNTech
41,Egypt,"Oxford/AstraZeneca, Sinopharm/Beijing"
42,El Salvador,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
43,England,"Oxford/AstraZeneca, Pfizer/BioNTech"
